Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;Старая цена;Артикул;Склад;Заголовок страницы;Ключевые слова;Описание страницы;Аннотация;Описание;Изображения;Материал;Материал корпуса;Материал фасада;жесткость;высота;нагрузка;пружинный блок;Сторона А;Сторона Б;зима-лето;Основание под матрас;Габаритные размеры;Бортик;Комплект;Подъемный механизм;Выдвижные ящики;Материал царг;Высота изголовья;Высота изножья;Высота от пола до царги;Высота царги;Глубина утапливания матраса;Ширина спинки;Ширина ножки;Крепление узлов кровати;Нестандартные размеры;Габариты (Д*Ш*В);Спальное место;Высота бортика;Универсал;Наполнитель;Механизм трансформации;Бельевой ящик;Ширина спального места;Длина спального места;Угол;Высота;Ширина;Глубина;Количество дверей;Наполнение двери;Раздвижная система;Прямой / Угловой;чехол;Ножная спинка;Нижнее спальное место;Верхнее спальное место;Диаметр трубы каркаса;Допустимая нагрузка;Общий вес изделия;Зеркало;Цвет;Ниша под ТВ;Производитель;Гарантия;Доставка;Занос;Сборка;Наличие и консультация;Матераил фасада;Цвет корпуса;Цвет фасада;Фабрика;Состав гарнитура (Верх);Состав гарнитура (Низ);Столешница;Фурнитура;Ширина, см;Высота, см;Глубина, см;Размер;Глубина без столешницы, см;Полезная глубина, см;Колеса;Лестница;Рекомендуемая высота матраца, см;Матрас;Ниша под ТВ (Ш*В*Г)
Кровать Стандарт с матрасом;6597.00;krovat-standart-s-matrasom;1;0;;90*200 венге + лоредо;;;;Кровать Стандарт с матрасом - Краснодар;Кровать Стандарт, Кровати;;;;;ЛДСП;;;;;;;;;;настил ЛДСП;;;Кровать с матрасом;нет;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ясень шимо. венге/лоредо;;БТС;;500р.;;;+7 (861) 217-59-54;;;;;;;;;;;;;;;;;;;
Кровать Стандарт с матрасом;6597.00;krovat-standart-s-matrasom;1;0;;90*200 ясень шимо;;;;Кровать Стандарт с матрасом - Краснодар;Кровать Стандарт, Кровати;;;;;ЛДСП;;;;;;;;;;настил ЛДСП;;;Кровать с матрасом;нет;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ясень шимо. венге/лоредо;;БТС;;500р.;;;+7 (861) 217-59-54;;;;;;;;;;;;;;;;;;;
